Cube 0, exploration constant - 4, loss constant 120, on iteration 10, has children 44
Cube 0, exploration constant - 4, loss constant 120, on iteration 11, has children 44
Cube 0, exploration constant - 4, loss constant 120, on iteration 12, has children 42
Cube 0, exploration constant - 4, loss constant 120, on iteration 13, has children 44
Cube 0, exploration constant - 4, loss constant 120, on iteration 14, has children 40
Cube 0, exploration constant - 4, loss constant 120, on iteration 15, has children 40
Cube 0, exploration constant - 4, loss constant 120, on iteration 16, has children 42
Cube 0, exploration constant - 4, loss constant 120, on iteration 17, has children 39
Cube 0, exploration constant - 4, loss constant 120, on iteration 18, has children 41
Cube 0, exploration constant - 4, loss constant 120, on iteration 19, has children 42
Cube 0, exploration constant - 4, loss constant 120, on avg children %41.45
Cube 0, exploration constant - 4, loss constant 140, on iteration 0, has children 44
Cube 0, exploration constant - 4, loss constant 140, on iteration 1, has children 41
Cube 0, exploration constant - 4, loss constant 140, on iteration 2, has children 42
Cube 0, exploration constant - 4, loss constant 140, on iteration 3, has children 42
Cube 0, exploration constant - 4, loss constant 140, on iteration 4, has children 42
Cube 0, exploration constant - 4, loss constant 140, on iteration 5, has children 42
Cube 0, exploration constant - 4, loss constant 140, on iteration 6, has children 41
Cube 0, exploration constant - 4, loss constant 140, on iteration 7, has children 42
Cube 0, exploration constant - 4, loss constant 140, on iteration 8, has children 35
Cube 0, exploration constant - 4, loss constant 140, on iteration 9, has children 36
Cube 0, exploration constant - 4, loss constant 140, on iteration 10, has children 36
Cube 0, exploration constant - 4, loss constant 140, on iteration 11, has children 43
Cube 0, exploration constant - 4, loss constant 140, on iteration 12, has children 40
Cube 0, exploration constant - 4, loss constant 140, on iteration 13, has children 55
Cube 0, exploration constant - 4, loss constant 140, on iteration 14, has children 40
Cube 0, exploration constant - 4, loss constant 140, on iteration 15, has children 45
Cube 0, exploration constant - 4, loss constant 140, on iteration 16, has children 43
Cube 0, exploration constant - 4, loss constant 140, on iteration 17, has children 54
Cube 0, exploration constant - 4, loss constant 140, on iteration 18, has children 43
Cube 0, exploration constant - 4, loss constant 140, on iteration 19, has children 41
Cube 0, exploration constant - 4, loss constant 140, on avg children %42.35
Cube 0, exploration constant - 4, loss constant 150, on iteration 0, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 1, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 2, has children 42
Cube 0, exploration constant - 4, loss constant 150, on iteration 3, has children 43
Cube 0, exploration constant - 4, loss constant 150, on iteration 4, has children 44
Cube 0, exploration constant - 4, loss constant 150, on iteration 5, has children 47
Cube 0, exploration constant - 4, loss constant 150, on iteration 6, has children 39
Cube 0, exploration constant - 4, loss constant 150, on iteration 7, has children 39
Cube 0, exploration constant - 4, loss constant 150, on iteration 8, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 9, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 10, has children 40
Cube 0, exploration constant - 4, loss constant 150, on iteration 11, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 12, has children 39
Cube 0, exploration constant - 4, loss constant 150, on iteration 13, has children 46
Cube 0, exploration constant - 4, loss constant 150, on iteration 14, has children 47
Cube 0, exploration constant - 4, loss constant 150, on iteration 15, has children 46
Cube 0, exploration constant - 4, loss constant 150, on iteration 16, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 17, has children 47
Cube 0, exploration constant - 4, loss constant 150, on iteration 18, has children 45
Cube 0, exploration constant - 4, loss constant 150, on iteration 19, has children 45
Cube 0, exploration constant - 4, loss constant 150, on avg children %43.95
Cube 0, exploration constant - 4, loss constant 160, on iteration 0, has children 46
Cube 0, exploration constant - 4, loss constant 160, on iteration 1, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 2, has children 40
Cube 0, exploration constant - 4, loss constant 160, on iteration 3, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 4, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 5, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 6, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 7, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 8, has children 47
Cube 0, exploration constant - 4, loss constant 160, on iteration 9, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 10, has children 38
Cube 0, exploration constant - 4, loss constant 160, on iteration 11, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 12, has children 46
Cube 0, exploration constant - 4, loss constant 160, on iteration 13, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 14, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 15, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 16, has children 40
Cube 0, exploration constant - 4, loss constant 160, on iteration 17, has children 44
Cube 0, exploration constant - 4, loss constant 160, on iteration 18, has children 45
Cube 0, exploration constant - 4, loss constant 160, on iteration 19, has children 47
Cube 0, exploration constant - 4, loss constant 160, on avg children %44.15
Cube 0, exploration constant - 4, loss constant 170, on iteration 0, has children 48
Cube 0, exploration constant - 4, loss constant 170, on iteration 1, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 2, has children 48
Cube 0, exploration constant - 4, loss constant 170, on iteration 3, has children 46
Cube 0, exploration constant - 4, loss constant 170, on iteration 4, has children 55
Cube 0, exploration constant - 4, loss constant 170, on iteration 5, has children 46
Cube 0, exploration constant - 4, loss constant 170, on iteration 6, has children 46
Cube 0, exploration constant - 4, loss constant 170, on iteration 7, has children 47
Cube 0, exploration constant - 4, loss constant 170, on iteration 8, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 9, has children 54
Cube 0, exploration constant - 4, loss constant 170, on iteration 10, has children 46
Cube 0, exploration constant - 4, loss constant 170, on iteration 11, has children 47
Cube 0, exploration constant - 4, loss constant 170, on iteration 12, has children 55
Cube 0, exploration constant - 4, loss constant 170, on iteration 13, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 14, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 15, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 16, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 17, has children 44
Cube 0, exploration constant - 4, loss constant 170, on iteration 18, has children 45
Cube 0, exploration constant - 4, loss constant 170, on iteration 19, has children 47
Cube 0, exploration constant - 4, loss constant 170, on avg children %47.2
Cube 0, exploration constant - 10, loss constant 30, on iteration 0, has children 43
Cube 0, exploration constant - 10, loss constant 30, on iteration 1, has children 39
Cube 0, exploration constant - 10, loss constant 30, on iteration 2, has children 48
Cube 0, exploration constant - 10, loss constant 30, on iteration 3, has children 44
Cube 0, exploration constant - 10, loss constant 30, on iteration 4, has children 38
Cube 0, exploration constant - 10, loss constant 30, on iteration 5, has children 43
Cube 0, exploration constant - 10, loss constant 30, on iteration 6, has children 40
Cube 0, exploration constant - 10, loss constant 30, on iteration 7, has children 45
Cube 0, exploration constant - 10, loss constant 30, on iteration 8, has children 43
Cube 0, exploration constant - 10, loss constant 30, on iteration 9, has children 49
Cube 0, exploration constant - 10, loss constant 30, on iteration 10, has children 50
Cube 0, exploration constant - 10, loss constant 30, on iteration 11, has children 51
Cube 0, exploration constant - 10, loss constant 30, on iteration 12, has children 44
Cube 0, exploration constant - 10, loss constant 30, on iteration 13, has children 43
Cube 0, exploration constant - 10, loss constant 30, on iteration 14, has children 38
Cube 0, exploration constant - 10, loss constant 30, on iteration 15, has children 49
Cube 0, exploration constant - 10, loss constant 30, on iteration 16, has children 42
Cube 0, exploration constant - 10, loss constant 30, on iteration 17, has children 44
Cube 0, exploration constant - 10, loss constant 30, on iteration 18, has children 36
Cube 0, exploration constant - 10, loss constant 30, on iteration 19, has children 42
Cube 0, exploration constant - 10, loss constant 30, on avg children %43.55
Cube 0, exploration constant - 10, loss constant 50, on iteration 0, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 1, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 2, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 3, has children 42
Cube 0, exploration constant - 10, loss constant 50, on iteration 4, has children 42
Cube 0, exploration constant - 10, loss constant 50, on iteration 5, has children 38
Cube 0, exploration constant - 10, loss constant 50, on iteration 6, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 7, has children 40
Cube 0, exploration constant - 10, loss constant 50, on iteration 8, has children 47
Cube 0, exploration constant - 10, loss constant 50, on iteration 9, has children 43
Cube 0, exploration constant - 10, loss constant 50, on iteration 10, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 11, has children 42
Cube 0, exploration constant - 10, loss constant 50, on iteration 12, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 13, has children 42
Cube 0, exploration constant - 10, loss constant 50, on iteration 14, has children 42
Cube 0, exploration constant - 10, loss constant 50, on iteration 15, has children 44
Cube 0, exploration constant - 10, loss constant 50, on iteration 16, has children 41
Cube 0, exploration constant - 10, loss constant 50, on iteration 17, has children 48
Cube 0, exploration constant - 10, loss constant 50, on iteration 18, has children 43
Cube 0, exploration constant - 10, loss constant 50, on iteration 19, has children 40
Cube 0, exploration constant - 10, loss constant 50, on avg children %42.9
Cube 0, exploration constant - 10, loss constant 70, on iteration 0, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 1, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 2, has children 42
Cube 0, exploration constant - 10, loss constant 70, on iteration 3, has children 41
Cube 0, exploration constant - 10, loss constant 70, on iteration 4, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 5, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 6, has children 44
Cube 0, exploration constant - 10, loss constant 70, on iteration 7, has children 42
Cube 0, exploration constant - 10, loss constant 70, on iteration 8, has children 41
Cube 0, exploration constant - 10, loss constant 70, on iteration 9, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 10, has children 36
Cube 0, exploration constant - 10, loss constant 70, on iteration 11, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 12, has children 37
Cube 0, exploration constant - 10, loss constant 70, on iteration 13, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 14, has children 48
Cube 0, exploration constant - 10, loss constant 70, on iteration 15, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 16, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 17, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 18, has children 43
Cube 0, exploration constant - 10, loss constant 70, on iteration 19, has children 36
Cube 0, exploration constant - 10, loss constant 70, on avg children %42.0
Cube 0, exploration constant - 10, loss constant 100, on iteration 0, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 1, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 2, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 3, has children 38
Cube 0, exploration constant - 10, loss constant 100, on iteration 4, has children 43
Cube 0, exploration constant - 10, loss constant 100, on iteration 5, has children 46
Cube 0, exploration constant - 10, loss constant 100, on iteration 6, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 7, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 8, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 9, has children 43
Cube 0, exploration constant - 10, loss constant 100, on iteration 10, has children 44
Cube 0, exploration constant - 10, loss constant 100, on iteration 11, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 12, has children 39
Cube 0, exploration constant - 10, loss constant 100, on iteration 13, has children 44
Cube 0, exploration constant - 10, loss constant 100, on iteration 14, has children 46
Cube 0, exploration constant - 10, loss constant 100, on iteration 15, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 16, has children 39
Cube 0, exploration constant - 10, loss constant 100, on iteration 17, has children 45
Cube 0, exploration constant - 10, loss constant 100, on iteration 18, has children 44
Cube 0, exploration constant - 10, loss constant 100, on iteration 19, has children 43
Cube 0, exploration constant - 10, loss constant 100, on avg children %43.7
Cube 0, exploration constant - 10, loss constant 120, on iteration 0, has children 37
Cube 0, exploration constant - 10, loss constant 120, on iteration 1, has children 43
Cube 0, exploration constant - 10, loss constant 120, on iteration 2, has children 44
Cube 0, exploration constant - 10, loss constant 120, on iteration 3, has children 47
Cube 0, exploration constant - 10, loss constant 120, on iteration 4, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 5, has children 45
Cube 0, exploration constant - 10, loss constant 120, on iteration 6, has children 43
Cube 0, exploration constant - 10, loss constant 120, on iteration 7, has children 40
Cube 0, exploration constant - 10, loss constant 120, on iteration 8, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 9, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 10, has children 45
Cube 0, exploration constant - 10, loss constant 120, on iteration 11, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 12, has children 37
Cube 0, exploration constant - 10, loss constant 120, on iteration 13, has children 45
Cube 0, exploration constant - 10, loss constant 120, on iteration 14, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 15, has children 52
Cube 0, exploration constant - 10, loss constant 120, on iteration 16, has children 40
Cube 0, exploration constant - 10, loss constant 120, on iteration 17, has children 46
Cube 0, exploration constant - 10, loss constant 120, on iteration 18, has children 37
Cube 0, exploration constant - 10, loss constant 120, on iteration 19, has children 37
Cube 0, exploration constant - 10, loss constant 120, on avg children %43.4
Cube 0, exploration constant - 10, loss constant 140, on iteration 0, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 1, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 2, has children 45
Cube 0, exploration constant - 10, loss constant 140, on iteration 3, has children 48
Cube 0, exploration constant - 10, loss constant 140, on iteration 4, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 5, has children 46
Cube 0, exploration constant - 10, loss constant 140, on iteration 6, has children 45
Cube 0, exploration constant - 10, loss constant 140, on iteration 7, has children 40
Cube 0, exploration constant - 10, loss constant 140, on iteration 8, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 9, has children 46
Cube 0, exploration constant - 10, loss constant 140, on iteration 10, has children 39
Cube 0, exploration constant - 10, loss constant 140, on iteration 11, has children 40
Cube 0, exploration constant - 10, loss constant 140, on iteration 12, has children 46
Cube 0, exploration constant - 10, loss constant 140, on iteration 13, has children 46
Cube 0, exploration constant - 10, loss constant 140, on iteration 14, has children 44
Cube 0, exploration constant - 10, loss constant 140, on iteration 15, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 16, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 17, has children 47
Cube 0, exploration constant - 10, loss constant 140, on iteration 18, has children 48
Cube 0, exploration constant - 10, loss constant 140, on iteration 19, has children 47
Cube 0, exploration constant - 10, loss constant 140, on avg children %45.45
Cube 0, exploration constant - 10, loss constant 150, on iteration 0, has children 48
Cube 0, exploration constant - 10, loss constant 150, on iteration 1, has children 47
Cube 0, exploration constant - 10, loss constant 150, on iteration 2, has children 47
Cube 0, exploration constant - 10, loss constant 150, on iteration 3, has children 48
Cube 0, exploration constant - 10, loss constant 150, on iteration 4, has children 41
Cube 0, exploration constant - 10, loss constant 150, on iteration 5, has children 42
Cube 0, exploration constant - 10, loss constant 150, on iteration 6, has children 47
Cube 0, exploration constant - 10, loss constant 150, on iteration 7, has children 48
Cube 0, exploration constant - 10, loss constant 150, on iteration 8, has children 41
Cube 0, exploration constant - 10, loss constant 150, on iteration 9, has children 48
Cube 0, exploration constant - 10, loss constant 150, on iteration 10, has children 42
Cube 0, exploration constant - 10, loss constant 150, on iteration 11, has children 47
